County,Date of Tier Assessment,Ending Date of Week of Data: 11-22-20 to 11-28-20,Final Tier Assignment on 12-08-20,"Previous Tier Assignment, 11-30-20 Assessment",First Date in Current Tier,School Reopening Status as of 12-07-20,"Tier for Week 11-22-20 to 11-28-20, 12-07-20 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate (>State Avg + Pop>100K or <State Avg + TestPos>3.5 + Pop>100K),"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=362.39",Population,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)"
Alameda,12-07-2020,11-28-2020,1,1,10-12-2020,May Not Reopen,1,4.9,15.7,17.2,0.916,423.4,1685886,6.9
Alpine,12-07-2020,11-28-2020,2,2,08-31-2020,May Reopen,1,4.4,63.9,63.9,  -   ,575.5,1117,    - 
Amador*,12-07-2020,11-28-2020,1,2,11-09-2020,May Reopen,1,4.5,19.7,19.7,  -   ,391.2,38531,    - 
Butte,12-07-2020,11-28-2020,1,1,10-19-2020,May Not Reopen,1,6.5,21.5,22.0,0.979,377.5,217769,7.0
Calaveras,12-07-2020,11-28-2020,1,1,10-26-2020,May Not Reopen,1,9.3,24.5,24.5,  -   ,286.8,44289,    - 
Colusa,12-07-2020,11-28-2020,1,1,10-26-2020,May Not Reopen,1,15.1,37.9,37.9,  -   ,264.3,22593,    - 
Contra Costa,12-07-2020,11-28-2020,1,1,11-09-2020,May Not Reopen,1,5.2,16.2,17.9,0.904,432.2,1160099,8.7
Del Norte,12-07-2020,11-28-2020,1,1,08-31-2020,May Not Reopen,1,4.3,27.0,27.0,  -   ,611.7,27558,    - 
El Dorado,12-07-2020,11-28-2020,1,1,09-21-2020,May Not Reopen,1,12.1,36.2,33.9,1.069,299.8,193098,14.5
Fresno,12-07-2020,11-28-2020,1,1,09-28-2020,May Not Reopen,1,11.3,23.6,22.2,1.063,305.3,1032227,11.5
Glenn,12-07-2020,11-28-2020,1,1,10-26-2020,May Not Reopen,1,15.9,42.8,42.8,  -   ,339.3,29348,    - 
Humboldt,12-07-2020,11-28-2020,1,1,10-05-2020,May Not Reopen,1,4.0,12.3,11.4,1.075,294.2,134098,3.8
Imperial,12-07-2020,11-28-2020,1,1,08-31-2020,May Not Reopen,1,20.3,40.6,34.9,1.165,212.7,191649,18.3
Inyo,12-07-2020,11-28-2020,2,2,10-05-2020,May Reopen,1,6.1,17.0,17.0,  -   ,216.8,18453,    - 
Kern,12-07-2020,11-28-2020,1,1,10-12-2020,May Not Reopen,1,15.3,40.3,37.0,1.087,283.4,927251,19.7
Kings,12-07-2020,11-28-2020,1,1,10-12-2020,May Not Reopen,1,9.7,28.8,31.8,0.906,430.7,156444,8.8
Lake,12-07-2020,11-28-2020,1,1,08-31-2020,May Not Reopen,1,8.4,18.7,18.7,  -   ,303.5,64871,    - 
Lassen,12-07-2020,11-28-2020,1,1,09-21-2020,May Not Reopen,1,10.0,69.8,69.8,  -   ,673.3,30065,    - 
Los Angeles,12-07-2020,11-28-2020,1,1,08-31-2020,May Not Reopen,1,8.7,26.9,41.8,0.642,621.6,10257557,13.9
Madera,12-07-2020,11-28-2020,1,1,08-31-2020,May Not Reopen,1,12.5,29.1,25.9,1.124,250.1,160089,16.6
Marin*,12-07-2020,11-28-2020,1,2,10-26-2020,May Reopen,1,2.2,8.1,10.5,0.766,532.2,260800,3.1
Mariposa,12-07-2020,11-28-2020,2,2,09-21-2020,May Reopen,1,2.5,12.0,12.0,  -   ,491.3,17795,    - 
Mendocino,12-07-2020,11-28-2020,1,1,10-26-2020,May Not Reopen,1,7.6,18.1,18.1,  -   ,359.6,88439,    - 
Merced,12-07-2020,11-28-2020,1,1,10-05-2020,May Not Reopen,1,12.3,37.0,36.2,1.023,341.4,287420,9.5
Modoc,12-07-2020,11-28-2020,1,1,11-09-2020,May Not Reopen,1,23.2,30.2,30.2,  -   ,104.0,9475,    - 
Mono,12-07-2020,11-28-2020,1,1,08-31-2020,May Not Reopen,1,14.2,40.9,40.9,  -   ,339.7,13961,    - 
Monterey,12-07-2020,11-28-2020,1,1,08-31-2020,May Not Reopen,1,11.6,36.7,37.2,0.987,371.6,448732,15.1
Napa,12-07-2020,11-28-2020,1,1,10-19-2020,May Not Reopen,1,6.0,20.7,31.0,0.667,604.1,139652,10.9
Nevada,12-07-2020,11-28-2020,1,1,09-21-2020,May Not Reopen,1,10.0,40.5,40.5,  -   ,343.0,98710,    - 
Orange,12-07-2020,11-28-2020,1,1,09-07-2020,May Not Reopen,1,10.6,30.3,30.3,1.000,362.5,3228519,16.2
Placer,12-07-2020,11-28-2020,1,1,11-09-2020,May Not Reopen,1,10.7,31.0,29.8,1.040,326.5,400434,12.2
Plumas,12-07-2020,11-28-2020,1,1,10-26-2020,May Not Reopen,1,6.0,17.3,17.3,  -   ,373.0,18997,    - 
Riverside,12-07-2020,11-28-2020,1,1,10-19-2020,May Not Reopen,1,14.8,47.8,49.0,0.977,379.1,2468145,17.7
Sacramento,12-07-2020,11-28-2020,1,1,11-09-2020,May Not Reopen,1,10.3,31.6,30.5,1.037,328.5,1567975,13.7
San Benito,12-07-2020,11-28-2020,1,1,10-12-2020,May Not Reopen,1,8.4,28.6,28.6,  -   ,387.6,64022,    - 
San Bernardino,12-07-2020,11-28-2020,1,1,08-31-2020,May Not Reopen,1,16.9,54.2,61.1,0.888,443.5,2217398,20.6
San Diego,12-07-2020,11-28-2020,1,1,11-09-2020,May Not Reopen,1,1.5,27.0,32.9,0.822,491.6,3370418,13.2
San Francisco,12-07-2020,11-28-2020,1,1,10-19-2020,May Not Reopen,1,2.2,7.2,14.4,0.500,734.6,892280,3.9
San Joaquin,12-07-2020,11-28-2020,1,1,09-28-2020,May Not Reopen,1,10.8,27.3,24.4,1.121,252.6,782545,11.9
San Luis Obispo,12-07-2020,11-28-2020,1,1,09-21-2020,May Not Reopen,1,4.8,16.3,18.8,0.868,457.9,278862,4.2
San Mateo,12-07-2020,11-28-2020,1,1,10-26-2020,May Not Reopen,1,3.8,11.6,18.5,0.628,632.2,778001,7.4
Santa Barbara,12-07-2020,11-28-2020,1,1,09-28-2020,May Not Reopen,1,4.6,14.4,14.1,1.017,346.6,456373,6.2
Santa Clara,12-07-2020,11-28-2020,1,1,10-12-2020,May Not Reopen,1,4.9,16.7,23.8,0.702,578.0,1967585,9.7
Santa Cruz,12-07-2020,11-28-2020,1,1,11-09-2020,May Not Reopen,1,5.6,20.9,24.7,0.844,475.1,273999,10.8
Shasta,12-07-2020,11-28-2020,1,1,10-26-2020,May Not Reopen,1,9.7,41.6,40.8,1.021,343.8,177925,9.8
Sierra,12-07-2020,11-28-2020,3,3,10-12-2020,May Reopen,2,1.3,4.6,4.6,  -   ,362.3,3115,    - 
Siskiyou,12-07-2020,11-28-2020,1,1,11-09-2020,May Not Reopen,1,17.4,30.6,30.6,  -   ,238.9,43956,    - 
Solano,12-07-2020,11-28-2020,1,1,09-21-2020,May Not Reopen,1,7.0,21.1,21.6,0.976,379.6,444255,7.1
Sonoma,12-07-2020,11-28-2020,1,1,08-31-2020,May Not Reopen,1,5.7,17.9,19.6,0.911,426.8,496668,8.2
Stanislaus,12-07-2020,11-28-2020,1,1,10-05-2020,May Not Reopen,1,12.7,32.2,30.9,1.039,326.6,562303,13.3
Sutter,12-07-2020,11-28-2020,1,1,10-12-2020,May Not Reopen,1,21.1,70.9,70.9,  -   ,400.8,105747,    - 
Tehama,12-07-2020,11-28-2020,1,1,10-05-2020,May Not Reopen,1,13.3,41.2,41.2,  -   ,297.7,65885,    - 
Trinity,12-07-2020,11-28-2020,1,1,11-09-2020,May Not Reopen,1,12.4,17.1,17.1,  -   ,199.0,13354,    - 
Tulare,12-07-2020,11-28-2020,1,1,08-31-2020,May Not Reopen,1,12.4,36.7,35.5,1.033,332.7,484423,15.0
Tuolumne,12-07-2020,11-28-2020,1,1,08-31-2020,May Not Reopen,1,12.6,36.6,36.6,  -   ,555.0,52351,    - 
Ventura,12-07-2020,11-28-2020,1,1,10-05-2020,May Not Reopen,1,7.8,25.6,34.2,0.747,545.5,852747,11.6
Yolo,12-07-2020,11-28-2020,1,1,09-28-2020,May Not Reopen,1,10.4,27.2,26.0,1.045,321.9,223612,11.4
Yuba,12-07-2020,11-28-2020,1,1,10-05-2020,May Not Reopen,1,17.7,46.3,46.3,  -   ,324.7,79290,    - 